transaction_id,customer_id,customer_email,amount,transaction_date,status
TXN_001,CUST_101,nguyen.an@gmail.com,150000,2026-06-01,SUCCESS
TXN_002,CUST_102,tran.binh@yahoo.com,500000,2026-06-01,SUCCESS
TXN_003,CUST_103,le.chi#gmail.com,250000,2026-06-01,SUCCESS
TXN_004,,hoang.dung@outlook.com,75000,2026-06-01,FAILED
TXN_005,CUST_105,vu.em@gmail.com,-120000,2026-06-01,SUCCESS
TXN_002,CUST_102,tran.binh@yahoo.com,500000,2026-06-01,SUCCESS
TXN_006,CUST_106,pham.gia@gmail.com,300000,2010-01-01,SUCCESS
TXN_007,CUST_107,dang.hoa@gmail.com,99000,2026-06-02,PENDING
TXN_008,CUST_108,bui.lan@gmail.com,1250000,2026-06-02,SUCCESS
TXN_009,CUST_109,,45000,2026-06-02,SUCCESS
TXN_010,CUST_110,ngo.minh@gmail.com,0,2026-06-02,PROCESSING
TXN_011,CUST_111,do.nam@gmail.com,180000,2026-06-02,UNKNOWN
TXN_012,CUST_112,vo.oanh@gmail.com,670000,2026-06-02,SUCCESS
TXN_013,CUST_113,phung.phong@gmail.com,55000,2026-06-02,SUCCESS
TXN_014,CUST_114,quach.quynh@gmail.com,210000,2026-06-02,FAILED
TXN_015,CUST_115,tang.tai@gmail.com,350000000,2026-06-03,SUCCESS
TXN_016,CUST_116,dinh.tu@gmail.com,135000,2026-06-03,SUCCESS
TXN_017,,hoang.viet@gmail.com,90000,2026-06-03,SUCCESS
TXN_018,CUST_118,ly.xuan@gmail.com,410000,2026-06-03,SUCCESS
TXN_019,CUST_119,diep.yen@gmail.com,110000,2026-06-03,SUCCESS
TXN_020,CUST_120,trieu.vy@gmail.com,85000,2026-06-03,SUCCESS
TXN_021,CUST_121,phan.quan@gmail.com,320000,2026-06-03,SUCCESS
TXN_022,CUST_122,nguyen.long@gmail.com,150000,2026-06-03,SUCCESS
TXN_023,CUST_123,tran.linh@gmail.com,95000,2026-06-04,SUCCESS
TXN_024,CUST_124,le.mai@gmail.com,120000,2026-06-04,FAILED
TXN_025,CUST_125,pham.nam@gmail.com,450000,2026-06-04,SUCCESS
TXN_026,CUST_126,hoang.phuc@gmail.com,60000,2026-06-04,SUCCESS
TXN_027,CUST_127,vu.quan@gmail.com,180000,2026-06-04,SUCCESS
TXN_028,CUST_128,bui.son@gmail.com,250000,2026-06-04,SUCCESS
TXN_029,CUST_129,dang.thanh@gmail.com,350000,2026-06-04,SUCCESS
TXN_030,CUST_130,ngo.tu@gmail.com,500000,2026-06-04,SUCCESS
TXN_031,CUST_131,do.van@gmail.com,150000,2026-06-05,SUCCESS
TXN_032,CUST_132,vo.xuan@gmail.com,85000,2026-06-05,SUCCESS
TXN_033,CUST_133,phung.yen@gmail.com,210000,2026-06-05,SUCCESS
TXN_034,CUST_134,quach.an@gmail.com,135000,2026-06-05,FAILED
TXN_035,CUST_135,tang.binh@gmail.com,90000,2026-06-05,SUCCESS
TXN_036,CUST_136,dinh.chi@gmail.com,410000,2026-06-05,SUCCESS
TXN_037,CUST_137,hoang.dung@gmail.com,110000,2026-06-05,SUCCESS
TXN_038,CUST_138,ly.em@gmail.com,85000,2026-06-05,SUCCESS
TXN_039,CUST_139,diep.gia@gmail.com,320000,2026-06-05,SUCCESS
TXN_040,CUST_140,trieu.hoa@gmail.com,150000,2026-06-05,SUCCESS
TXN_041,CUST_141,phan.lan@gmail.com,95000,2026-06-06,SUCCESS
TXN_042,CUST_142,nguyen.minh@gmail.com,120000,2026-06-06,SUCCESS
TXN_043,CUST_143,tran.nam@gmail.com,450000,2026-06-06,SUCCESS
TXN_044,CUST_144,le.oanh@gmail.com,60000,2026-06-06,FAILED
TXN_045,CUST_145,pham.phong@gmail.com,180000,2026-06-06,SUCCESS
TXN_046,CUST_146,hoang.quynh@gmail.com,250000,2026-06-06,SUCCESS
TXN_047,CUST_147,vu.tai@gmail.com,350000,2026-06-06,SUCCESS
TXN_048,CUST_148,bui.tu@gmail.com,500000,2026-06-06,SUCCESS
TXN_049,CUST_149,dang.viet@gmail.com,150000,2026-06-06,SUCCESS
TXN_050,CUST_150,ngo.xuan@gmail.com,85000,2026-06-06,SUCCESS
TXN_051,CUST_151,do.yen@gmail.com,210000,2026-06-07,SUCCESS
TXN_052,CUST_152,vo.an@gmail.com,135000,2026-06-07,SUCCESS
TXN_053,CUST_153,phung.binh@gmail.com,90000,2026-06-07,FAILED
TXN_054,CUST_154,quach.chi@gmail.com,410000,2026-06-07,SUCCESS
TXN_055,CUST_155,tang.dung@gmail.com,110000,2026-06-07,SUCCESS
TXN_056,CUST_156,dinh.em@gmail.com,85000,2026-06-07,SUCCESS
TXN_057,CUST_157,hoang.gia@gmail.com,320000,2026-06-07,SUCCESS
TXN_058,CUST_158,ly.hoa@gmail.com,150000,2026-06-07,SUCCESS
TXN_059,CUST_159,diep.lan@gmail.com,95000,2026-06-07,SUCCESS
TXN_060,CUST_160,trieu.minh@gmail.com,120000,2026-06-07,SUCCESS
TXN_061,CUST_161,phan.nam@gmail.com,450000,2026-06-08,SUCCESS
TXN_062,CUST_162,nguyen.oanh@gmail.com,60000,2026-06-08,FAILED
TXN_063,CUST_163,tran.phong@gmail.com,180000,2026-06-08,SUCCESS
TXN_064,CUST_164,le.quynh@gmail.com,250000,2026-06-08,SUCCESS
TXN_065,CUST_165,pham.tai@gmail.com,350000,2026-06-08,SUCCESS
TXN_066,CUST_166,hoang.tu@gmail.com,500000,2026-06-08,SUCCESS
TXN_067,CUST_167,vu.viet@gmail.com,150000,2026-06-08,SUCCESS
TXN_068,CUST_168,bui.xuan@gmail.com,85000,2026-06-08,SUCCESS
TXN_069,CUST_169,dang.yen@gmail.com,210000,2026-06-08,SUCCESS
TXN_070,CUST_170,ngo.an@gmail.com,135000,2026-06-08,SUCCESS
TXN_071,CUST_171,do.binh@gmail.com,90000,2026-06-09,SUCCESS
TXN_072,CUST_172,vo.chi@gmail.com,410000,2026-06-09,FAILED
TXN_073,CUST_173,phung.dung@gmail.com,110000,2026-06-09,SUCCESS
TXN_074,CUST_174,quach.em@gmail.com,85000,2026-06-09,SUCCESS
TXN_075,CUST_175,tang.gia@gmail.com,320000,2026-06-09,SUCCESS
TXN_076,CUST_176,dinh.hoa@gmail.com,150000,2026-06-09,SUCCESS
TXN_077,CUST_177,hoang.lan@gmail.com,95000,2026-06-09,SUCCESS
TXN_078,CUST_178,ly.minh@gmail.com,120000,2026-06-09,SUCCESS
TXN_079,CUST_179,diep.nam@gmail.com,450000,2026-06-09,SUCCESS
TXN_080,CUST_180,trieu.oanh@gmail.com,60000,2026-06-09,SUCCESS
TXN_081,CUST_181,phan.phong@gmail.com,180000,2026-06-10,SUCCESS
TXN_082,CUST_182,nguyen.quynh@gmail.com,250000,2026-06-10,FAILED
TXN_083,CUST_183,tran.tai@gmail.com,350000,2026-06-10,SUCCESS
TXN_084,CUST_184,le.tu@gmail.com,500000,2026-06-10,SUCCESS
TXN_085,CUST_185,pham.viet@gmail.com,150000,2026-06-10,SUCCESS
TXN_086,CUST_186,hoang.xuan@gmail.com,85000,2026-06-10,SUCCESS
TXN_087,CUST_187,vu.yen@gmail.com,210000,2026-06-10,SUCCESS
TXN_088,CUST_188,bui.an@gmail.com,135000,2026-06-10,SUCCESS
TXN_089,CUST_189,dang.binh@gmail.com,90000,2026-06-10,SUCCESS
TXN_090,CUST_190,ngo.chi@gmail.com,410000,2026-06-10,SUCCESS
TXN_091,CUST_191,do.dung@gmail.com,110000,2026-06-11,SUCCESS
TXN_092,CUST_192,vo.em@gmail.com,85000,2026-06-11,FAILED
